segment_index,road_segment_id,name,highway,length_m,madina_flow,flow_distance_km,protected_local_street,major_road
1711,8224,,secondary,32.66514464675705,0.0,0.0,False,True
1712,8225,طريق الملك فهد,motorway,225.5874718107743,0.0,0.0,False,True
1713,8226,طريق الملك فهد,motorway,338.2720939751822,0.0,0.0,False,True
1714,8227,طريق الملك فهد,motorway,527.6851744455217,0.0,0.0,False,True
1715,8228,طريق الملك فهد,motorway,526.1425251985919,0.0,0.0,False,True
1716,8229,طريق الملك فهد,motorway,64.35984696024795,0.0,0.0,False,True
1717,8230,طريق الملك فهد,motorway,272.98796063475504,0.0,0.0,False,True
1718,8231,طريق الملك فهد,motorway,53.26935410312813,0.0,0.0,False,True
1719,8232,طريق الملك فهد,motorway,31.60753329470541,0.0,0.0,False,True
1720,8233,طريق الملك فهد,motorway,364.8708798966079,0.0,0.0,False,True
1721,8234,طريق الملك فهد,motorway,139.24439664952388,0.0,0.0,False,True
1722,8235,طريق الملك فهد,motorway,88.49001154774572,0.0,0.0,False,True
1723,8236,طريق الملك فهد,motorway,100.30600719432057,0.0,0.0,False,True
1724,8237,طريق الملك فهد,motorway,25.743307783072876,0.0,0.0,False,True
1725,8238,طريق الملك فهد,motorway,117.88743184930907,0.0,0.0,False,True
1726,8239,طريق الملك فهد,motorway,368.36184619447863,0.0,0.0,False,True
1727,8240,,secondary,64.73479730938229,0.0,0.0,False,True
1728,8241,,secondary,34.30849111900132,0.0,0.0,False,True
1729,8242,,secondary,146.77873831675586,0.0,0.0,False,True
1730,8243,,secondary,67.11706646027504,0.0,0.0,False,True
1731,8244,,secondary,14.08767714220104,0.0,0.0,False,True
1732,8245,,secondary,13.767744529469196,0.0,0.0,False,True
1733,8246,,secondary,57.246392759388044,0.0,0.0,False,True
1734,8247,,secondary,66.00340784906953,0.0,0.0,False,True
1735,8248,,secondary,72.94492473630778,0.0,0.0,False,True
1736,8249,,secondary,45.51081405720827,0.0,0.0,False,True
1737,8250,,secondary,142.26842192729998,0.0,0.0,False,True
1738,8251,,secondary,18.63291093790724,0.0,0.0,False,True
1739,8252,,secondary,9.539568838122081,0.0,0.0,False,True
1740,8253,,motorway_link,12.385761019005006,0.0,0.0,False,False
1741,8254,,motorway_link,45.4870671837812,0.0,0.0,False,False
1742,8255,,motorway_link,49.25930266153087,0.0,0.0,False,False
1743,8256,,motorway_link,28.119895939858566,0.0,0.0,False,False
1744,8257,,motorway_link,13.876174935884983,0.0,0.0,False,False
1745,8258,,motorway_link,86.18321292040696,0.0,0.0,False,False
1746,8259,,motorway_link,76.34536644605078,0.0,0.0,False,False
1747,8260,,motorway_link,270.28587925697514,0.0,0.0,False,False
1748,8261,,motorway_link,421.46586398241953,0.0,0.0,False,False
1749,8262,,motorway_link,140.79666037778725,0.0,0.0,False,False
1750,8263,,motorway_link,232.26286605103235,0.0,0.0,False,False
1751,8264,,motorway_link,200.08137433658206,0.0,0.0,False,False
1752,8265,,motorway_link,147.80098521064062,0.0,0.0,False,False
1753,8266,,secondary,26.455217388977893,0.0,0.0,False,True
1754,8267,,secondary,2.7850901105025003,0.0,0.0,False,True
1755,8373,,tertiary,20.892901535167457,0.0,0.0,False,False
1756,8374,,tertiary,10.907450134500909,0.0,0.0,False,False
1757,8375,,tertiary,54.13665277452782,0.0,0.0,False,False
1758,8376,,tertiary,10.12298284971493,0.0,0.0,False,False
1759,8377,,tertiary,23.873612999803505,0.0,0.0,False,False
1760,8378,,tertiary,14.578912754890233,0.0,0.0,False,False
1761,8379,,tertiary,67.13925168750099,0.0,0.0,False,False
1762,8380,,tertiary,31.237781504057,0.0,0.0,False,False
1763,8382,,tertiary,34.36933270759211,0.0,0.0,False,False
1764,8383,,tertiary,45.1051661490253,0.0,0.0,False,False
1765,8384,,motorway_link,134.36443818783798,0.0,0.0,False,False
1766,8385,,motorway_link,289.4964343912633,0.0,0.0,False,False
1767,8386,,motorway_link,65.95456224926033,0.0,0.0,False,False
1768,8394,,tertiary,64.2398217473535,0.0,0.0,False,False
1769,8395,,tertiary,50.94820617898573,0.0,0.0,False,False
1770,8396,,tertiary,19.066456845362843,0.0,0.0,False,False
1771,8397,,tertiary,44.574645737546504,0.0,0.0,False,False
1772,8398,,tertiary,45.6569132886643,0.0,0.0,False,False
1773,8399,,tertiary,204.41163655352477,0.0,0.0,False,False
1774,8400,,tertiary,6.916942570971015,0.0,0.0,False,False
1775,8401,,tertiary,33.92294054750537,0.0,0.0,False,False
