origin_index,endpoint_key,name,demand_weight,accessibility,reachable
161,,,,2.33298136951054,True
162,,,,2.7004474636065696,True
163,,,,2.5671356442854307,True
164,,,,2.0860336707887353,True
165,,,,2.5149394582052755,True
166,,,,2.5834101330627184,True
167,,,,2.351663290612734,True
168,,,,2.5528744856430623,True
169,,,,2.5212343948155644,True
170,,,,2.731314070880954,True
171,,,,2.627927738044626,True
172,,,,2.119970079206611,True
173,,,,2.6298086426453136,True
174,,,,2.7708466566578416,True
175,,,,2.810120843876481,True
176,,,,2.2521802233083386,True
177,,,,2.0406599482542704,True
178,,,,2.0121005404837145,True
179,,,,1.9898398438384222,True
180,,,,1.265566003627312,True
181,,,,1.3099623658679689,True
182,,,,1.3099254425409481,True
183,,,,1.3714749075902937,True
184,,,,1.3805286950434972,True
185,,,,1.4368439797944421,True
186,,,,1.5245040451794243,True
187,,,,1.521109365078045,True
188,,,,1.7470499120974528,True
189,,,,1.7371793061288245,True
190,,,,1.8728112112003057,True
191,,,,1.6378170785675554,True
192,,,,1.6552502848478472,True
193,,,,1.5392490619176689,True
194,,,,1.2378593325681015,True
195,,,,0.9725574217667836,True
196,,,,0.49548056077879565,True
197,,,,0.3324033725982915,True
198,,,,0.22114148549467277,True
199,,,,0.12243232528758191,True
200,,,,0.0,False
201,,,,0.0,False
202,,,,0.11014388581255759,True
203,,,,0.0,False
204,,,,0.6383612790648662,True
205,,,,0.6192365953397236,True
206,,,,0.5919421360460693,True
207,,,,0.6833868731462499,True
208,,,,0.6990161822544305,True
209,,,,0.7392259120464517,True
210,,,,0.8176023846111807,True
211,,,,0.8346826247616164,True
212,,,,0.8695208056976222,True
213,,,,1.0020767506840755,True
214,,,,1.0183571961646367,True
215,,,,0.8387701317116673,True
216,,,,0.8478172555576481,True
217,,,,0.8377896323043963,True
218,,,,0.8723867031963919,True
219,,,,0.8632649263393346,True
220,,,,0.7738256028326841,True
221,,,,1.0125467945344384,True
222,,,,1.095740526810786,True
223,,,,1.1115462410662116,True
224,,,,1.1178431131419848,True
225,,,,1.7433193145555044,True
226,,,,1.7810811231254489,True
227,,,,1.772719863535537,True
228,,,,1.8218738831529468,True
229,,,,1.8216882338349039,True
230,,,,1.81885468359844,True
231,,,,1.96278997599145,True
232,,,,2.23904992442405,True
233,,,,1.317142661144985,True
234,,,,2.404794781926246,True
235,,,,2.3143270875100383,True
236,,,,2.4751393014057514,True
237,,,,2.6056500881336757,True
238,,,,2.5629055170417714,True
239,,,,2.763094081891475,True
240,,,,2.7071126469706366,True
