segment_index,road_segment_id,name,highway,length_m,madina_flow,flow_distance_km,protected_local_street,major_road
8357,8357,,unclassified,45.57451159056762,0.9387293512895185,0.04278213170075019,True,False
8358,8358,,unclassified,75.23538987503328,0.0,0.0,True,False
8359,8359,,unclassified,76.39935419584032,0.0,0.0,True,False
8360,8360,,unclassified,165.05381976846294,0.7248583762499977,0.11964064379122781,True,False
8361,8361,,residential,52.157383786661285,0.0,0.0,True,False
8362,8362,,residential,53.125237501650375,0.0,0.0,True,False
8363,8363,,unclassified,116.501360939578,0.0,0.0,True,False
8364,8364,,unclassified,186.28203882144908,0.0,0.0,True,False
8365,8365,,unclassified,34.46034079177642,0.0,0.0,True,False
8366,8366,,unclassified,52.21993229078841,0.0,0.0,True,False
8367,8367,,unclassified,115.49349692954439,0.0,0.0,True,False
8368,8368,,unclassified,65.29875502543267,0.0,0.0,True,False
8369,8369,,unclassified,68.24949870836681,0.0,0.0,True,False
8370,8370,,residential,81.22297364453377,6.1569566446868755,0.5000863272819391,True,False
8371,8371,,residential,171.69284846140684,6.348852883348199,1.0900526360044682,True,False
8372,8372,,residential,107.06450324733797,3.5812516348764576,0.3834249272917649,True,False
8373,8373,,tertiary,20.892901535167457,0.0,0.0,False,False
8374,8374,,tertiary,10.907450134500909,0.0,0.0,False,False
8375,8375,,tertiary,54.13665277452782,0.0,0.0,False,False
8376,8376,,tertiary,10.12298284971493,0.2432207710255003,0.0024621196937855815,False,False
8377,8377,,tertiary,23.873612999803505,0.11332137865914316,0.0027053907387125757,False,False
8378,8378,,tertiary,14.578912754890233,0.11332137865914316,0.001652102492735528,False,False
8379,8379,,tertiary,67.13925168750099,0.11332137865914316,0.007608312563370815,False,False
8380,8380,,tertiary,31.237781504057,0.0,0.0,False,False
8381,8381,,service,69.64634869306218,0.0,0.0,True,False
8382,8382,,tertiary,34.36933270759211,0.11332137865914316,0.003894780166019119,False,False
8383,8383,,tertiary,45.1051661490253,0.0,0.0,False,False
8384,8384,,motorway_link,134.36443818783798,0.0,0.0,False,False
8385,8385,,motorway_link,289.4964343912633,0.0,0.0,False,False
8386,8386,,motorway_link,65.95456224926033,0.2432207710255003,0.016041519482914452,False,False
8387,8387,,residential,75.43607392494938,0.0,0.0,True,False
8388,8388,,residential,120.0720266227965,0.0,0.0,True,False
8389,8389,,residential,63.805099406228884,0.0,0.0,True,False
8390,8390,,residential,65.74718303448029,0.0,0.0,True,False
8391,8391,,residential,121.59468951600317,0.0,0.0,True,False
8392,8392,,residential,117.03206952026497,0.0,0.0,True,False
8393,8393,,residential,149.08533753571376,0.0,0.0,True,False
8394,8394,,tertiary,64.2398217473535,0.0,0.0,False,False
8395,8395,,tertiary,50.94820617898573,0.0,0.0,False,False
8396,8396,,tertiary,19.066456845362843,0.0,0.0,False,False
8397,8397,,tertiary,44.574645737546504,0.0,0.0,False,False
8398,8398,,tertiary,45.6569132886643,0.0,0.0,False,False
8399,8399,,tertiary,204.41163655352477,0.0,0.0,False,False
8400,8400,,tertiary,6.916942570971015,0.0,0.0,False,False
8401,8401,,tertiary,33.92294054750537,0.0,0.0,False,False
8402,8402,,tertiary,11.503977392954683,0.0,0.0,False,False
8403,8403,,tertiary,20.586687081296002,0.0,0.0,False,False
8404,8404,,tertiary,83.92773352223571,0.0,0.0,False,False
8405,8405,,tertiary,48.150053544669866,0.0,0.0,False,False
8406,8406,,tertiary,11.601406289319664,0.0,0.0,False,False
8407,8407,,residential,24.978510262813195,0.0,0.0,True,False
8408,8408,,residential,166.94575568700174,0.0,0.0,True,False
8409,8409,,residential,65.64336158071953,0.0,0.0,True,False
8410,8410,,residential,11.06379833377722,0.0,0.0,True,False
8411,8411,,residential,121.7938180429017,0.0,0.0,True,False
8412,8412,,residential,70.79827676349582,0.0,0.0,True,False
8413,8413,,residential,76.17786189290827,0.0,0.0,True,False
8414,8414,,residential,64.11822688617899,0.0,0.0,True,False
8415,8415,,residential,78.26365264148649,0.0,0.0,True,False
8416,8416,,residential,68.42043007364038,0.0,0.0,True,False
8417,8417,,residential,35.159528098321786,0.0,0.0,True,False
8418,8418,,residential,169.77212793042347,0.0,0.0,True,False
8419,8419,,residential,76.23275908005152,0.0,0.0,True,False
8420,8420,,residential,62.34397981329952,0.0,0.0,True,False
8421,8421,,residential,172.80219891576002,0.0,0.0,True,False
8422,8422,,residential,78.0335468198084,0.0,0.0,True,False
8423,8423,,residential,65.07732728092597,0.0,0.0,True,False
8424,8424,,residential,67.97159471685958,0.0,0.0,True,False
